Film,Director,urlmubi,Urlverification
Malibú,Víctor Manuel Velázquez,https://mubi.com/es/films/malibu-2020,1
Las niñas bien,Alejandra Márquez Abella,https://mubi.com/es/films/the-good-girls,1
Guachicolero,Edgar Nito,https://mubi.com/es/films/the-gasoline-thieves,1
Allá en el rancho,Rafael Montero,https://mubi.com/es/films/out-on-the-big-ranch,0
Loca por el trabajo,Luis Eduardo Reyes,,
Pájaros de verano,Ciro Guerra  Cristina Gallego,https://mubi.com/es/films/birds-of-passage,1
Asfixia,Kenya Márquez,https://mubi.com/es/films/choke,0
La marca del demonio,Armando Casas,https://mubi.com/es/films/mark-of-the-devil-2020,0
El ídolo,Erwin Neumaier,https://mubi.com/es/films/el-idolo,0
Compulsión,Batán Silva,https://mubi.com/es/films/compulsion-2017,0
Museo,Alonso Ruizpalacios,https://mubi.com/es/films/museum-2018,1
Dibujando el cielo,Ana Laura Calderón Montiel,,
El complot mongol,Sebastián del Amo,https://mubi.com/films/the-mongolian-conspiracy,1
Bayoneta,Kyzza Terrazas,https://mubi.com/es/films/bayoneta,1
La ruta de los caídos,Alejandro Springall,https://mubi.com/es/films/when-angels-fall,0
Ni tú ni yo,Noé Santillán-López,https://mubi.com/es/films/ni-tu-ni-yo,1
El pequeño gran hombre,Jorge Ramírez-Suárez,https://mubi.com/es/films/little-big-man,0
Souvenir,Armond Cohen,https://mubi.com/es/films/the-souvenir,0
Placa de acero,Abe Rosenberg,,
Ni tú ni nadie,Gabriel Guzmán,,
Nahui,Gerardo Tort,https://mubi.com/es/films/nahui,1
 Si yo fuera tú,Alejandro Lubezki,,
 Más allá de la herencia,Alejandro González Padilla,,
 Tod@s caen,Ariel Winograd,https://mubi.com/es/films/tod-s-caen,1
"Emma, Dios y el fútbol",Julio Bárcenas,https://mubi.com/es/films/emma-2019,0
Cómprame un revólver,Julio Hernández Cordón,https://mubi.com/es/films/buy-me-a-gun,1
Los vientos de Santa Ana,Samuel Isamu Kishi Leopo,,
La camarista,Lila Deisse Avilés Solís  Juan Carlos Márquez Cervantes,https://mubi.com/es/films/the-chambermaid-2018,1
La perla de Marina,Daniela Elena Alatorre,https://mubi.com/es/films/retreat-2019,1
Cuando cierro los ojos,Michelle Enedina,https://mubi.com/es/films/when-i-shut-my-eyes,1
"Cometa. Él, su perro y su mundo",Leonardo Arturo Domínguez,,
Gigantes descalzos,Álvaro Priante  Iván Roiz,https://mubi.com/es/films/gigantes-descalzos,1
Cantadoras. Memorias de vida y muerte en Colombia,María Fernanda Carrillo Sánchez,,
Truenos de San Juan,Santiago Maza,https://mubi.com/films/the-thunder-feast,1
Giro climático,Antonio Isordia  Michelle Ibaven  Carlos Armella  Teresa Camou  Sergio Blanco  Roberto Olivares  Eleonora Isunza  Gustavo Martínez Ballesté,https://mubi.com/films/cambio-climatico-desde-mi-region-un-fenomeno-que-nos-afecta-a-todos,0
Regreso al origen,María José Glender de Mucha,https://mubi.com/es,0
Hasta gritar gol,José Rubén Hernández Torres,,
Rock Staff,Leonardo Orozco,https://mubi.com/es/lists/rock-n-roll-films,0
Talacheros F.C.,Gabriel Villegas  Mariano V. Osnaya,,
El Tecolote,Jaime Rogel,,
Los atardeceres rojos,Emilio Aguilar Pradal,https://mubi.com/es/films/los-atardeceres-rojos,1
La danza de las fieras,Miguel Ángel Fernández  Ana Díez  Rodrigo Ruíz Patterson  Gina Herrera,https://mubi.com/es/films/the-dance-of-reality,0
Jefe de jefes,Olallo Rubio,,
Los ofendidos,Marcela Zamora Chamorro,https://mubi.com/es/films/aftermath/ratings,1
Día de visita,Nicole Opper,https://mubi.com/es/films/the-visit-2015-m-night-shyamalan,0
Ruinas tu reino,Pablo Escoto,https://mubi.com/es/films/ruinas-tu-reino,1
Casa Roshell,Camila José Donoso,https://mubi.com/es/films/casa-roshell,1
El carnaval de Oruro en Iztacalco,Sergio Sanjinés Franck,,
La tierra aún se mueve,Pablo Chavarría Gutiérrez,https://mubi.com/es/films/still-the-earth-moves-2017,1
Pólvora y gloria,Viktor Jakovlesk,https://mubi.com/es/films/pain-and-glory,0
Amir,José Paredes,https://mubi.com/es/films/amir,0
Mujeres de manos cálidas,Adrián Macías Díaz,https://mubi.com/es/lists/the-power-of-women,0
La posesión de Altaír. 1974,Víctor Dryere,https://mubi.com/films/-1974,1
Lucha México,Alex Hammond  Ian Markiewicz,https://mubi.com/it/films/lucha-mexico,1
Las Chuntá,Genevieve Roudané,,
Paraíso perdido,Oliver Victoria,https://mubi.com/es/films/paradise-lost-2018,0
Como te ves me vi,Germán Quintero,https://mubi.com/films/como-te-ves-me-vi,1
Bombay,Javier Ávila,https://mubi.com/es/films/bombay,0
Omar & Gloria,Jimmy Cohen,https://mubi.com/es/films/omar-gloria,1
Rojo paraíso,Alberto Amador,https://mubi.com/es/lists/paris,0
La vida que elegimos,Rocke Killingan,,
Discolocos,David Dávila Herrera,,
Anadina,Raúl Fuentes,https://mubi.com/es/films/undine-2020,0
Chasing Niagara,Rush Sturges,https://mubi.com/es/films/chasing-niagara,1
Rocío,Darío Guerrero,https://mubi.com/es/cast/rocio,0
Ayer maravilla fui,Gabriel Mariño,https://mubi.com/es/films/yesterday-wonder-i-was,1
Cuadros en la oscuridad,Paula Markovitch,,
Despertar,Soley Bernal,https://mubi.com/es/films/despertar,0
Volverá el polvo a la tierra,Alejandro Soltero,,
Fábulas de almas perdidas,Roberto Pacheco  Sinhué F. Benavides  Agustín Oso Tapia  Yuliana Barco  Jerónimo Barriga  Davek Carrizosa  Grecia Castellanos  A.J. Gómez,,0
El pensamiento del arte,Arturo Sezmer  Lorenzo Lagrava,https://mubi.com/es,0
Sinvivir,Anaïs Pareto Onghena,,
El autor,Manuel Martín Cuenca,https://mubi.com/es/films/the-ghost-writer,0
Romina,Diego Cohen,https://mubi.com/es/films/romina,1
Atrás hay relámpagos,Julio Hernández Cordón,https://mubi.com/es/films/atras-hay-relampagos,1
El dibujante (The Drawer Boy),Arturo Pérez Torres,https://mubi.com/es/films/the-drawer-boy,1
Cómplices,Luis Eduardo Reyes,https://mubi.com/es/films/complices-2018,1
La cocina de Las Patronas,Javier García,https://mubi.com/es/films/la-cocina-de-las-patronas,1
Recuperando el paraíso,José Arteaga  Rafael Camacho,https://mubi.com/es/films/retrieving-paradise,1
