Film,Director,imdburl
 Más allá de la herencia,Alejandro González Padilla,https://www.imdb.com/title/tt9336434/
 Tod@s caen,Ariel Winograd,https://www.imdb.com/title/tt7549776/
"Emma, Dios y el fútbol",Julio Bárcenas,https://www.imdb.com/title/tt9109490/
Cómprame un revólver,Julio Hernández Cordón,https://www.imdb.com/title/tt7425520/
Los vientos de Santa Ana,Samuel Isamu Kishi Leopo,https://www.imdb.com/title/tt1600880/?language=es-mx
La camarista,Lila Deisse Avilés Solís  Juan Carlos Márquez Cervantes,https://www.imdb.com/title/tt8331988/
La perla de Marina,Daniela Elena Alatorre,https://www.imdb.com/name/nm4500419/
Cuando cierro los ojos,Michelle Enedina,https://www.imdb.com/title/tt10120830/
"Cometa. Él, su perro y su mundo",Leonardo Arturo Domínguez,https://www.imdb.com/title/tt6890828/?language=es-mx
Gigantes descalzos,Álvaro Priante  Iván Roiz,https://www.imdb.com/title/tt6197896/
Cantadoras. Memorias de vida y muerte en Colombia,María Fernanda Carrillo Sánchez,https://www.imdb.com/title/tt17066982/
Truenos de San Juan,Santiago Maza,https://www.imdb.com/title/tt6218098/
Giro climático,Antonio Isordia  Michelle Ibaven  Carlos Armella  Teresa Camou  Sergio Blanco  Roberto Olivares  Eleonora Isunza  Gustavo Martínez Ballesté,https://www.imdb.com/title/tt27568917/
Regreso al origen,María José Glender de Mucha,https://www.imdb.com/title/tt8544498/
Hasta gritar gol,José Rubén Hernández Torres,https://www.imdb.com/title/tt3170330/
Rock Staff,Leonardo Orozco,https://www.imdb.com/title/tt0117500/fullcredits
Talacheros F.C.,Gabriel Villegas  Mariano V. Osnaya,https://www.imdb.com/title/tt9734044/
El Tecolote,Jaime Rogel,https://www.imdb.com/title/tt6748900/
Los atardeceres rojos,Emilio Aguilar Pradal,https://www.imdb.com/title/tt10037428/
La danza de las fieras,Miguel Ángel Fernández  Ana Díez  Rodrigo Ruíz Patterson  Gina Herrera,https://www.imdb.com/title/tt7072396/
Jefe de jefes,Olallo Rubio,https://www.imdb.com/title/tt6038990/
Los ofendidos,Marcela Zamora Chamorro,https://www.imdb.com/title/tt6497796/
Día de visita,Nicole Opper,https://www.imdb.com/title/tt2308627/
Ruinas tu reino,Pablo Escoto,https://www.imdb.com/title/tt6137626/
Casa Roshell,Camila José Donoso,https://www.imdb.com/title/tt6611238/
El carnaval de Oruro en Iztacalco,Sergio Sanjinés Franck,https://www.imdb.com/title/tt6013896/
La tierra aún se mueve,Pablo Chavarría Gutiérrez,https://m.imdb.com/title/tt6786550/?language=es-mx
Pólvora y gloria,Viktor Jakovlesk,https://www.imdb.com/title/tt5279122/awards/
Amir,José Paredes,https://www.imdb.com/title/tt3863018/
Mujeres de manos cálidas,Adrián Macías Díaz,https://www.youtube.com/watch?v=VTyRYAJlWP0&themeRefresh=1
La posesión de Altaír. 1974,Víctor Dryere,https://www.imdb.com/title/tt2516966/
