Film,Director,mubi_rating
Una mujer sin filtro,Luis Eduardo Reyes,
El sembrador,Melissa Elizondo Moreno,['8.9']
Mapa de sueños latinoamericanos,Martín Weber,[]
Pacífico Norte,Valentina Sachetti,
Una isla en el continente,Juan Pablo Miquirray,[]
La lengua de la lluvia/Tu ́un savi,Uriel López España,
Detrás de la montaña,David R. Romay,['6.7']
Donde nace la vida,Carlos Reygadas,
El actor principal,Paula Markovitch,
Clases de historia,Marcelino Islas Hernández,['6.0']
La mala noche,Gabriela Calvache,
Ricochet,Rodrigo Fiallega,['5.5']
Vaquero del medio día,Alicia Cárdenas,['7.8']
Hasta que la boda nos separe,Santiago Limón,
Los inquilinos,Iria Gómez Concheiro,
Azul intenso,Roberto Hernández Ruiz,
Los poetas del cielo,Emilio Maillé,[]
Daniela y Tania,Salomón Askenazi,[]
"Tlalocan, bajo la ciudad de los dioses",Juan Roberto Mora Catlett  Carlos Rodrigo Montes,
Los hermanos Márquez Castillo,Mark Alazraki  Fernando Rovzar,
Luciérnagas,Bani Khoshnoudi,['7.6']
Malibú,Víctor Manuel Velázquez,[]
Las niñas bien,Alejandra Márquez Abella,['7.5']
Guachicolero,Edgar Nito,['6.6']
Allá en el rancho,Rafael Montero,
Loca por el trabajo,Luis Eduardo Reyes,
Pájaros de verano,Ciro Guerra  Cristina Gallego,['7.5']
Asfixia,Kenya Márquez,
La marca del demonio,Armando Casas,
El ídolo,Erwin Neumaier,
Compulsión,Batán Silva,
Museo,Alonso Ruizpalacios,['7.3']
Dibujando el cielo,Ana Laura Calderón Montiel,
El complot mongol,Sebastián del Amo,['5.3']
Bayoneta,Kyzza Terrazas,['5.0']
La ruta de los caídos,Alejandro Springall,
Ni tú ni yo,Noé Santillán-López,[]
El pequeño gran hombre,Jorge Ramírez-Suárez,
Souvenir,Armond Cohen,
Placa de acero,Abe Rosenberg,
Ni tú ni nadie,Gabriel Guzmán,
Nahui,Gerardo Tort,[]
 Si yo fuera tú,Alejandro Lubezki,
 Más allá de la herencia,Alejandro González Padilla,
 Tod@s caen,Ariel Winograd,[]
"Emma, Dios y el fútbol",Julio Bárcenas,
Cómprame un revólver,Julio Hernández Cordón,['7.5']
Los vientos de Santa Ana,Samuel Isamu Kishi Leopo,
La camarista,Lila Deisse Avilés Solís  Juan Carlos Márquez Cervantes,['7.6']
La perla de Marina,Daniela Elena Alatorre,['6.0']
Cuando cierro los ojos,Michelle Enedina,[]
"Cometa. Él, su perro y su mundo",Leonardo Arturo Domínguez,
Gigantes descalzos,Álvaro Priante  Iván Roiz,[]
Cantadoras. Memorias de vida y muerte en Colombia,María Fernanda Carrillo Sánchez,
Truenos de San Juan,Santiago Maza,[]
Giro climático,Antonio Isordia  Michelle Ibaven  Carlos Armella  Teresa Camou  Sergio Blanco  Roberto Olivares  Eleonora Isunza  Gustavo Martínez Ballesté,
Regreso al origen,María José Glender de Mucha,
Hasta gritar gol,José Rubén Hernández Torres,
Rock Staff,Leonardo Orozco,
Talacheros F.C.,Gabriel Villegas  Mariano V. Osnaya,
El Tecolote,Jaime Rogel,
Los atardeceres rojos,Emilio Aguilar Pradal,[]
La danza de las fieras,Miguel Ángel Fernández  Ana Díez  Rodrigo Ruíz Patterson  Gina Herrera,
Jefe de jefes,Olallo Rubio,
Los ofendidos,Marcela Zamora Chamorro,[]
Día de visita,Nicole Opper,
Ruinas tu reino,Pablo Escoto,['8.0']
Casa Roshell,Camila José Donoso,['7.2']
El carnaval de Oruro en Iztacalco,Sergio Sanjinés Franck,
La tierra aún se mueve,Pablo Chavarría Gutiérrez,['7.7']
Pólvora y gloria,Viktor Jakovlesk,
Amir,José Paredes,
Mujeres de manos cálidas,Adrián Macías Díaz,
La posesión de Altaír. 1974,Víctor Dryere,['6.0']
Lucha México,Alex Hammond  Ian Markiewicz,['5.4']
Las Chuntá,Genevieve Roudané,
Paraíso perdido,Oliver Victoria,
Como te ves me vi,Germán Quintero,[]
Bombay,Javier Ávila,
Omar & Gloria,Jimmy Cohen,[]
Rojo paraíso,Alberto Amador,
La vida que elegimos,Rocke Killingan,
Discolocos,David Dávila Herrera,
Anadina,Raúl Fuentes,
Chasing Niagara,Rush Sturges,[]
Rocío,Darío Guerrero,
Ayer maravilla fui,Gabriel Mariño,['6.7']
Cuadros en la oscuridad,Paula Markovitch,
Despertar,Soley Bernal,
Volverá el polvo a la tierra,Alejandro Soltero,
Fábulas de almas perdidas,Roberto Pacheco  Sinhué F. Benavides  Agustín Oso Tapia  Yuliana Barco  Jerónimo Barriga  Davek Carrizosa  Grecia Castellanos  A.J. Gómez,
El pensamiento del arte,Arturo Sezmer  Lorenzo Lagrava,
Sinvivir,Anaïs Pareto Onghena,
El autor,Manuel Martín Cuenca,
Romina,Diego Cohen,['3.1']
Atrás hay relámpagos,Julio Hernández Cordón,['5.5']
El dibujante (The Drawer Boy),Arturo Pérez Torres,[]
Cómplices,Luis Eduardo Reyes,[]
La cocina de Las Patronas,Javier García,[]
Recuperando el paraíso,José Arteaga  Rafael Camacho,[]
Deseos,Flavio Florencio,
FemDom Dominación femenina,Christian González,
Un mundo raro Canciones de José Alfredo Jiménez,Iván López-Barba  Rubén R. Bañuelos,
México bárbaro II,Abraham Sánchez  Carlos Meléndez  Christian Cueva  Diego Cohen  Fernando Urdapilleta  Lex Ortega  Michelle Garza  Ricardo Farías  Sergio Tello,[]
Cinderello,Beto Gómez,
Un año de miradas al azar,Roberto Sánchez Santos,[]
El brujo de Apizaco,Rodrigo Lebrija,
Memorias de lo que nunca fue,Leopoldo Laborde,['6.3']
El ombligo de Guie ́dani,Xavi Sala,['7.4']
Lejos del sentido,Olivia Luengas,[]
La era de la desconexión,Cristóbal González,
La tercera raíz Buscando el origen del son jarocho,Allen Reed Rickert  Camilo Nu,
Mes nuits feront écho (Mis noches harán eco),Sophie Goyette,['7.1']
La metamorfosis de Magdalena,Jorge Juvenal Arreola,
Cine lotería,Eduardo Luis Argüelles,
El pez (Le poisson),Martin Verdet,
MetaFilm,Jesús Rodríguez Chiva,
Mirreyes contra Godínez,Chava Cartas,[]
Réplica,Oliver Victoria  Axel M. Espino  Carlos Reygadas  Everardo González  Santiago Arriaga  Vanessa Vidal  Jacaranda Correa  Santiago Fábregas,
Nunca lo tuvieron Una velada con Bukowski,Mateo Borgardt,
El Chapulín Colorado 3D,Roberto Gómez Fernández,
Silencio,Lorena Villarreal,
Eres mi pasión/ El fútbol o yo,Anwar Safa,[]
Ya veremos,Pitipol Ybarra,
Este soy,Verónica Velasco  Epigmenio Ibarra,
Ánima,Kuno Becker,
Masacre en Teques ,Rodrigo Hernández Cruz,
Dulces tentaciones,Óscar Blancarte,
Preludio a una siesta,Mariana H. Menchaca,
La boda de la abuela,Javier Colinas,
Hugo Sánchez,Francisco Javier Padilla,
Semillas contra el despojo,María Antonieta de la Puente Díaz,[]
Sin origen,Rigoberto Castañeda,[]
"Ok, está bien",Gabriela Ivette Sandoval Torres,['7.2']
Buscando al lobo (Finding the Werewolf),Rodrigo Iturralde Álvarez y Georgina González Rodríguez,
Yo no estoy aquí,Fernando Frías,['7.7']
Chicuarotes,Gael García Bernal,['6.2']
Mano de obra,David Zonana,
Lucha de gigantes,Humberto Hinojosa,
Los idealistas,Marcelo Tobar,[]
Esto no es Berlín (Invisible),Hari Sama,['8.1']
En las buenas y en las malas,Gabriel Barragán Sentíes,[]
Santuario,Joshua Gil,[]
Cindy La Regia,Catalina Aguilar Mastretta,['7.8']
Héroes de Chapultepec,Mauricio Sariñana,
El gran salto,Jorge Porras,
Chèche Lavi,Sam Ellison,['7.3']
Doña Sabina Sombra,Oliver Victoria,
Una leyenda punk,Inés Morales y Susana Quiroz,
Huevitos en fuga,Gabriel Riva Palacio Alatriste y Rodolfo Riva Palacio Alatriste,
¿Y cómo es él?,Ariel Winograd,[]
Cruz,Teresa Camou Guerrero,
Dulce familia (Alitas),Nicolás López,
50 primeras citas / Como si fuera la primera vez,Mauricio Valle,
Corazón de mezquite,Ana Laura Calderón Montiel,[]
México pelágico II (Mares de México),Jerónimo Prieto,
Cuestión de principios (Déjalo ir Let It Go),Marcos Almada,
El envoltorio sagrado,Julio Serrano Echeverría,
Colozio,Artemio Narro,['5.0']
Sobre la estabilidad de los 3 cuerpos,Carlos Lenin,
La nave,Batán Silva,[]
La cara oculta (Búnker),Jorge Michel Grau,
No manches Frida 2,Nacho G. Velilla,[]
¿Conoces a Tomás?,María Torres,[]
Amores modernos,Matías Meyer,['7.3']
Chapita,Roberto Santis Hernández y Juan Julián Cruz Cruz,
La caja,Lorenzo Vigas,['7.8']
Los trapos sucios se lavan en casa,Diego Muñoz,
Todas las pecas del mundo,Yibran Asuad,['5.8']
El emperador de Michoacán," ""James Ramey y Arturo Pimentel""",
Selva trágica," ""Yulene Olaizola y Rubén Ímaz""",['5.9']
"Veinteañera, divorciada y fantástica",Noé Santillán-López,
Heredera del viento,Gloria Carrión Fonseca,
Sin miedo,Claudio Zulian,
El mito en la oscuridad,Carlos Israel Ávila,
Eliades Ochoa From Cuba to the World,Rubén Gómez y Cynthia Biestek,[]
Xotal,Lauri Saksa,
 Nikté-Ha. Viaje al mundo del agua maya, Joy Penroz,
El secreto de la belleza. Pueblo en defensa de la tierra,Néstor A. Jiménez Díaz,['8.8']
 Dos Fridas Ishtar Yasin,,[]
Tierra mía,Pedro González-Rubio,
 Pamparios, Florian Seufert,['6.6']
Ya me voy (I'm Leaving Now),"Lindsey Cordero,Armando Croda Naveda",['6.6']
 Las noches invisibles, Alejandra Aragón,
 Yo no soy guapo, Joyce García,['8.7']
Los débiles,"Raúl Rico González,Eduardo Giralt Brun",
 Niebla de culpa, Francisco Laresgoiti,[]
Mi hermano,Alana Simões,[]
 Vatreni, Edson Ramírez,[]
Fausto,Andrea Bussmann,['7.0']
 La otra revolución, Mario Corona Payán,
Sangre nuestra,Adolfo López Campaña,
" Tuya, mía... te la apuesto(Pena máxima)",Rodrigo Triana,[]
El expediente Atlimeyaya,Hugo Vivar,
Como novio de pueblo (Primos),Joe Rendón,
Esta película la hice pensando en ti, Pepe Gutiérrez García,['6.5']
Olimpia,José Manuel Cravioto,['7.8']
Mano de metate," ""Eugenia Varela y Bruno Varela""",[]
Rencor tatuado,Julián Hernández,['5.1']
Sacúdete las penas, Andrés Ibáñez Díaz Infante,
Niños asesinos,Ricardo Tavera,[]
La distancia, Ricardo A. Martínez,
Gracias por ser mi amigo,José Gerardo,
Mamacita, José Pablo Estrada Torrescano,['8.4']
