N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-00178,EL TUERTO ANGUSTIAS,MEX-GUA,JOSÉ DELFOSS,1974,
A-00179,"ETNOCIDIO, NOTAS SOBRE EL MEZQUITAL",MEX-CAN,PAUL LEDUC,1976,
A-00180,EL PRIMO BASILIO,MEX,CARLOS DE NÁJERA,1934,
A-00181,GATILLEROS DEL RÍO BRAVO,MEX,PEDRO GALINDO III,1982,
A-00182,DOS DE ABAJO,MEX,GILBERTO GAZCÓN,1982,
A-00183,MÉXICO 2000,MEX,ROGELIO A. GONZÁLEZ,1981,
A-00184,SÓLO PARA DAMAS,MEX,FERNANDO DURÁN,1981,
A-00185,LOS PESEROS,MEX,JOSÉ LUIS URQUIETA,1982,
A-00186,LAS NENAS DEL AMOR,MEX,ÁNGEL RODRÍGUEZ VÁZQUEZ,1981,
A-00187,EL TORITO DE TEPITO,MEX,JUAN RODRÍGUEZ MAS,1982,
A-00188,FIERAS EN BRAMA,MEX,RAÚL DE ANDA JR.,1981,
A-00189,UN GALLO CON ESPOLONES,MEX-PERU,ZACARÍAS GÓMEZ URQUIZA,1964,
A-00190,EL DÍA DE LA BODA,MEX,RENÉ CARDONA JR.,1967,
A-00191,AHÍ ESTÁ EL DETALLE,MEX,JUAN BUSTILLO ORO,1940,
A-00192,JUAN COLORADO,MEX,MIGUEL ZACARÍAS,1965,
A-00193,EL AMOR DE MARÍA ISABEL,MEX,FEDERICO CURIEL,1968,
A-00194,DICEN QUE SOY MUJERIEGO,MEX,ROBERTO RODRÍGUEZ,1948,
A-00195,EL AMOR DE MI VIDA,MEX,JOSELITO RODRÍGUEZ,1978,
A-00196,AHÍ MADRE,MEX,RAFAEL BALEDÓN,1970,
A-00197,AMOR A LA MEJICANA,MEX,RAÚL DE ANDA       ,1979,
A-00198,EL VAMPIRO,MEX,FERNANDO MÉNDEZ,1957,
A-00199,DILE QUE LA QUIERO,MEX,FERNANDO CORTÉS,1963,
A-00200,ÉCHAME A MÍ LA CULPA,MEX-ESP,FERNANDO CORTÉS,1958,
A-00201,A TODA MÁQUINA,MEX,ISMAEL RODRÍGUEZ,1951,
A-00202,FLOR MARCHITA,MEX,ROGELIO A. GONZÁLEZ,1968,
A-00203,EL GRAN CAMPEÓN,MEX,CHANO URUETA,1949,
A-00204,AL ROJO VIVO,MEX,GILBERTO GAZCÓN,1968,
A-00205,ADIÓS AMOR,MEX,ABEL SALAZAR,1971,
A-00206,LAS GOLFAS DEL TALÓN,MEX,JAIME FERNÁNDEZ,1979,
A-00207,AL FILO DE LOS MACHETES,MEX,JOSÉ LUIS URQUIETA,1977,
A-00208,EL CARA PARCHADA,MEX,ALBERTO MARISCAL,1978,
A-00209,ELENA Y RAQUEL,MEX,ABEL SALAZAR,1970,
A-00210,FIESTA EN EL CORAZÓN,MEX,JAIME SALVADOR,1957,
A-00211,BLUE DEMON VS. LAS DIABÓLICAS,MEX,CHANO URUETA,1966,
A-00212,"ALUCARDA, LA HIJA DE LAS TINIEBLAS",MEX,JUAN LÓPEZ MOCTEZUMA,1975,
A-00213,A QUÉ LE TIRAS CUANDO SUEÑAS MEXICANO,MEX,ARTURO MARTÍNEZ,1979,
A-00214,EL DESPERTAR DEL LOBO,MEX,RENÉ CARDONA JR.,1968,
A-00215,ALGUIEN TIENE QUE MORIR,MEX,ALFREDO B. CREVENNA,1977,
A-00216,EL ARDIENTE DESEO,MEX,RAÚL DE ANDA JR.,1970,
A-00217,ASÍ ERA PANCHO VILLA,MEX,ISMAEL RODRÍGUEZ,1957,
A-00218,EL ÁGUILA NEGRA,MEX,RAMÓN PEÓN,1953,
A-00219,ARRIBA LAS MUJERES,MEX,CARLOS ORELLANA,1943,
A-00220,AMANECÍ EN TUS BRAZOS,MEX,RAFAEL PORTILLO,1966,
A-00221,EL ATAÚD DEL VAMPIRO,MEX,FERNANDO MÉNDEZ,1957,
A-00222,GRÍTENME PIEDRAS DEL CAMPO,MEX,MIGUEL M. DELGADO,1957,
A-00223,ASÍ ES MI TIERRA,MEX,ARCADY BOYTLER,1937,
A-00224,ÁGUILA O SOL,MEX,ARCADY BOYTLER,1937,
