N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-03525,MUÑECOS INFERNALES,MEX,BENITO ALAZRAKI,1960,
A-03526,SALTO AL VACÍO,MEX,JOSÉ LUIS URQUIETA,1994,
A-03527,DOS GALLOS Y DOS GALLINAS,MEX,EMILIO GÓMEZ MURIEL,1962,
A-03528,DE COLOR MORENO,MEX-ESP,GILBERTO MARTÍNEZ SOLARES,1963,
A-03529,GERTRUDIS BOCANEGRA,MEX,ERNESTO MEDINA,1991,
A-03530,EL BRACERO DEL AÑO,MEX,RAFAEL BALEDÓN,1963,
A-03531,ALMA GRANDE,MEX,CHANO URUETA,1965,
A-03532,LOS FERNÁNDEZ DE PERALVILLO,MEX,ALEJANDRO GALINDO,1953,
A-03533,ADIOS CUÑADO,MEX,ROGELIO A. GONZÁLEZ,1966,
A-03534,GOLPE DE SUERTE,MEX,MARCELA FERNÁNDEZ VIOLANTE,1991,
A-03535,LANZA TUS PENAS AL VIENTO,MEX,JULIÁN SOLER,1966,
A-03536,HOY NO CIRCULA,MEX,RAFAEL MONTERO / VÍCTOR UGALDE,1993,
A-03537,HEMBRAS DE TIERRA CALIENTE,MEX,LUIS QUINTANILLA,1990,
A-03538,LA CHICA DEL ALACRÁN,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1990,
A-03539,DOCUMENTACIÓN HISTÓRICA NACIONAL 1915-1916,MEX,ENRIQUE ROSAS,1916,
A-03540,EL AMOR DE MI BOHÍO,MEX-CUBA,JUAN OROL,1946,
A-03541,BUÑUEL Y LA MESA DEL REY SALOMON,MEX-ESP-ALE,CARLOS SAURA,2000,
A-03542,LA LLAVE MORTAL,MEX,FRANCISCO GUERRERO,1990,
A-03543,LAS LEANDRAS,MEX,GILBERTO MARTÍNEZ SOLARES,1960,
A-03544,1810 O LOS LIBERTADORES DE MÉXICO/ ¡LOS LIBERTADORES!,MEX,MANUEL CIREROL SANSORES,1916,
A-03545,UN CORAZÓN EN EL RUEDO,MEX,MIGUEL MORAYTA,1949,
A-03546,EL CALLEJÓN DE LOS MILAGROS,MEX,JORGE FONS,1994,
A-03547,BRONCO,MEX,JOSE LUIS URQUIETA,1991,
A-03548,SUCESOS DISTANTES,MEX,GUITA SCHYFTER,1994,
A-03549,NOCHE DE PÁNICO,MEX,JUAN GARRIDO,1989,
A-03550,MUJERES INSUMISAS,MEX,ALBERTO ISAAC,1994,
A-03551,PÁNICO EN LA MONTAÑA,MEX,PEDRO GALINDO III,1988,
A-03552,NO ME DEFIENDAS COMPADRE,MEX,GILBERTO MARTÍNEZ SOLARES,1949,
A-03553,HUELLAS DEL PASADO,MEX,ALFREDO B. CREVENNA,1950,
A-03554,MI NOCHE DE BODAS,MEX-ESP,TULIO DE MICHELI,1961,
A-03555,EL CAMINO DEL INFIERNO,MEX,MIGUEL MORAYTA,1950,
A-03556,LA ALEGRE CASADA,MEX,MIGUEL ZACARÍAS,1951,
A-03557,QUE ME TOQUEN LAS GOLONDRINAS,MEX-ARG,MIGUEL MORAYTA,1956,
A-03558,LA REINA DEL TRÓPICO,MEX,ROLANDO AGUILAR,1945,
A-03559,MECÁNICA MEXICANA,MEX,RAFAEL PÉREZ GAVILÁN,1994,
A-03560,CUATRO NOCHES CONTIGO,MEX,RAÚL DE ANDA,1951,
A-03561,SECUESTRO A MANO ARMADA,MEX,ENRIQUE GÓMEZ VADILLO,1991,
A-03562,FRONTERA NORTE,MEX,VICENTE ORONÁ,1953,
A-03563,EL TEJEDOR DE MILAGROS,MEX,FRANCISCO DEL VILLAR,1961,
A-03564,UN NOVIO PARA DOS HERMANAS,MEX-ESP,LUIS CÉSAR AMADORI,1966,
A-03565,VIVILLO DESDE CHIQUILLO,MEX,EMILIO GÓMEZ MURIEL,1950,
A-03566,LA LADRONA,MEX,EMILIO GÓMEZ MURIEL,1953,
A-03567,ESCUELA DE VAGABUNDOS,MEX,ROGELIO A. GONZÁLEZ,1954,
A-03568,LA MUJER DEL PUERTO / WOMAN OF THE PORT (1991),MEX-EUA,ARTURO RIPSTEIN,1991,
A-03569,BURBUJAS DE AMOR,MEX,FELIPE CAZALS,1991,
A-03570,DOS LOCOS EN APRIETOS,MEX,RENÉ CARDONA III,1990,
A-03571,PIÑA MADURA,MEX,MIGUEL ZACARÍAS,1949,
A-03572,JUDICIAL PERO HONRADO,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1990,
A-03573,AL SON DEL CHARLESTON,MEX,JAIME SALVADOR,1954,
A-03574,LA RISA EN VACACIONES II,MEX,RENÉ CARDONA JR.,1991,
A-03575,FEDERAL DE NARCÓTICOS (DIVISION COBRA),MEX,JUAN GARRIDO,1991,
A-03576,GUITARRAS DE MEDIA NOCHE,MEX,RAFAEL BALEDÓN,1957,
A-03577,LAS CONFERENCIAS MEXICANO-AMERICANAS DE ATLANTIC CITY,MEX,MANUEL DE LA BANDERA,1916,
A-03578,REVISTA CIRMAR,MEX,MANUEL NORIEGA,1916,
A-03579,SERPIENTES Y ESCALERAS,MEX,BUSI CORTÉS,1991,
A-03580,HABÍA UNA VEZ UNA ESTRELLA,MEX,SERGIO VÉJAR,1989,
A-03581,A DONDE VAN NUESTROS HIJOS,MEX,BENITO ALAZRAKI,1956,
A-03582,SERAFÍN,MEX,RENÉ CARDONA III,2000,
A-03583,RAMO DE FUEGO,MEX-EUA,MAUREEN GOSLING / ELLEN OSBORNE,2000,
A-03584,LA FUGA,MEX,NORMAN FOSTER,1943,
A-03585,LUNA DE MIEL PARA NUEVE,MEX,AGUSTÍN P. DELGADO,1963,
A-03586,EL LOBO BLANCO,MEX,JAIME SALVADOR,1962,
A-03587,ESQUINA BAJAN,MEX,ALEJANDRO GALINDO,1948,
A-03588,YO BAILÉ CON DON PORFIRIO,MEX,GILBERTO MARTÍNEZ SOLARES,1942,
A-03589,ESCUELA DE VALIENTES,MEX,JULIÁN SOLER,1961,
A-03590,YO MATÉ A ROSITA ALVÍREZ,MEX,RAÚL DE ANDA,1946,
A-03591,EL HOMBRE QUE LOGRÓ SER INVISIBLE,MEX,ALFREDO B. CREVENNA,1957,
A-03592,"VIOLENCIA, CASOS DE LA VIDA REAL",MEX,JULIO RUIZ LLANEZA,1991,
A-03593,SU ÚLTIMA AVENTURA,MEX,GILBERTO MARTÍNEZ SOLARES,1946,
A-03594,DOS NACOS EN EL PLANETA DE LAS MUJERES,MEX,"ALBERTO ROJAS ""EL CABALLO""",1989,
A-03595,MIROSLAVA,MEX,ALEJANDRO PELAYO,1992,
A-03596,"SEXO, PUDOR Y LÁGRIMAS",MEX,ANTONIO SERRANO,1998,
A-03597,LA PRIMERA NOCHE,MEX,ALEJANDRO GAMBOA,1997,
A-03598,KINO (LA LEYENDA DEL PADRE NEGRO),MEX,FELIPE CAZALS,1991,
A-03599,CADA QUIEN SU VIDA,MEX,JULIO BRACHO,1959,
A-03600,CORAZÓN DE FIERA,MEX,ERNESTO CORTÁZAR,1950,
A-03601,EL BULTO,MEX,GABRIEL RETES,1991,
A-03602,ALMAS TROPICALES,MEX,MIGUEL CONTRERAS TORRES/MANUEL R. OJEDA,1923,
A-03603,ANOCHE SOÑÉ CONTIGO,MEX,MARISA SISTACH,1991,
A-03604,LA MOMIA AZTECA,MEX,RAFAEL PORTILLO,1957,
A-03605,AQUÍ ESPANTAN!,MEX,JOAQUÍN BISSNER,1992,
A-03606,AMOR QUE MATA,MEX,VALENTÍN TRUJILLO,1993,
A-03607,CABARET DE FRONTERA,MEX,LUIS QUINTANILLA,1992,
A-03608,CAMBIANDO EL DESTINO,MEX,GILBERTO DE ANDA,1992,
A-03609,CRONOS,MEX,GUILLERMO DEL TORO,1992,
A-03610,UN INSTANTE PARA MORIR,MEX,CHRISTIAN GONZÁLEZ,1992,
A-03611,LOLO,MEX,FRANCISCO ATHIÉ,1992,
A-03612,MAREA SUAVE,MEX,JUAN MANUEL GONZÁLEZ,1991,
A-03613,EL DERECHO A LA VIDA,MEX,MAURICIO DE LA SERNA,1958,
A-03614,EL PUENTE II,MEX,JOSÉ LUIS URQUIETA,1992,
A-03615,RAPTO SALVAJE,MEX,ALEJANDRO TODD,1992,
A-03616,"OCTAGÓN Y ATLANTIS, LA REVANCHA",MEX,FERNANDO PÉREZ GAVILÁN,1991,
A-03617,SOY HOMBRE Y QUÉ,MEX,JORGE MANRIQUE,1992,
A-03618,TEQUILA,MEX,RUBÉN GÁMEZ,1991,
A-03619,LA TAREA PROHIBIDA,MEX,JAIME HUMBERTO HERMOSILLO,1992,
A-03620,MUERTE EN LA PLAYA,MEX,ENRIQUE GÓMEZ BADILLO,1991,
A-03621,LOS FUGITIVOS ,MEX,ANDRÉS GARCÍA,1993,
A-03622,AL CAER LA NOCHE,MEX,FERNANDO DURÁN,1991,
A-03623,LA NUBE DE MAGALLANES,MEX-URU,ADRIANA CONTRERAS,1989,
A-03624,"RAMIRO SIERRA, EL VENGADOR",MEX,RAFAEL PÉREZ GROVAS,1992,
A-03625,"ORO, SANGRE Y SOL",MEX,MIGUEL CONTRERAS TORRES ,1923,
A-03626,ASESINOS DE LA MONTAÑA,MEX,RENÉ CARDONA JR.,1992,
A-03627,SE EQUIVOCÓ LA CIGÜEÑA,MEX,MARÍA ELENA VELASCO,1993,
A-03628,AMA A TU PRÓJIMO,MEX,TULIO DEMICHELI,1958,
A-03629,EL SEXO NO CAUSA IMPUESTOS,MEX ,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1992,
A-03630,MUERTE CIEGA,MEX,ENRIQUE GÓMEZ VADILLO,1991,
A-03631,ESCUADRÓN SUICIDA,MEX,ALFREDO B. CREVENNA,1991,
A-03632,LA FRONTERA SIN LEY,MEX,JAIME SALVADOR,1964,
A-03633,ZAPATOS VIEJOS,MEX,SERGIO ANDRADE,1992,
A-03634,EL HIJO DE LA LOCA,MEX,JOSE S. ORTÍZ,1923,
A-03635,NOVIA QUE TE VEA,MEX,GUITA SCHYFTER,1992,
A-03636,LA DAMA Y EL JUDICIAL,MEX,JULIO RUIZ LLANEZA,1992,
A-03637,LUCHA A MUERTE (EL ROBO DEL MUSEO),MEX,FERNANDO PÉREZ GAVILÁN,1992,
A-03638,A TIRO LIMPIO,MEX,RENÉ CARDONA  ,1958,
A-03639,EL CORONEL NO TIENE QUIEN LE ESCRIBA,MEX-ESP-FRA,ARTURO RIPSTEIN,1999,
A-03640,LA LÍNEA,MEX-FRA,ERNESTO RIMOCH,1992,
A-03641,EXTRAÑOS CAMINOS,MEX,ALFONSO CORONA,1992,
A-03642,LA VIDA CONYUGAL,MEX,LUIS CARLOS CARRERA,1992,
A-03643,SEÑOR GENERAL D. PABLO GONZÁLEZ EN LOS SITIOS DE CAMPAÑA,MEX,MANUEL NORIEGA,1916,
A-03644,MISA DE CUERPO PRESENTE,MEX,HERNANDO NAME,1993,
A-03645,RITO TERMINAL,MEX,ÓSCAR URRUTIA LAZO,1999,
A-03646,NOCTURNO A ROSARIO,MEX,MATILDE LANDETA,1991,
A-03647,LOS AÑOS DE GRETA,MEX,ALBERTO BOJÓRQUEZ,1991,
A-03648,BALA DE PLATA,MEX,MIGUEL M. DELGADO,1959,
A-03649,BALA DE PLATA EN EL PUEBLO MALDITO,MEX,MIGUEL M. DELGADO,1959,
A-03650,GUTIERRITOS,MEX,ALFREDO B. CREVENNA,1959,
A-03651,UN DIA DE DICIEMBRE,MEX,FERNANDO CORTÉS,1961,
A-03652,IMPERIO DE LOS MALDITOS,MEX,CHRISTIAN GONZÁLEZ,1992,
A-03653,LOS HEREDEROS,MEX,EUGENIO POLGOVSKY,2008,
A-03654,EL FISCAL DE HIERRO III,MEX,DAMIÁN ACOSTA,1991,
A-03655,FRONTERA SUR,MEX,HUGO STIGLITZ/ERNESTO GARCÍA CABRAL JR.,1993,
A-03656,LA ISLA DE LOS DINOSAURIOS,MEX,RAFAEL PORTILLO,1966,
A-03657,ESCUADRÓN SALVAJE,MEX,ANTONIO DE ANDA,1990,
A-03658,ALGO ES ALGO DIJO EL DIABLO,MEX,FERNANDO CORTÉS,1974,
A-03659,AMBAR,MEX,LUIS ESTRADA,1993,
A-03660,VAGABUNDA,MEX-ITA,ALFONSO ROSAS PRIEGO,1993,
A-03661,ATRAPADOS,MEX,VALENTÍN TRUJILLO,1990,
A-03662,QUE ME ENTIERREN CON LA BANDA,MEX,ALFREDO B. CREVENNA,1992,
A-03663,EL PATRULLERO,MEX-EUA-JAP,ALEX COX,1991,
A-03664,TIRANO BANDERAS,MEX-CUBA-ESP,JOSÉLUIS GARCÍA SÁNCHEZ,1993,
A-03665,DESIERTOS MARES,MEX,JOSÉ LUIS GARCÍA AGRAZ,1993,
A-03666,LUCHADORES DE LAS ESTRELLAS,MEX,RODOLFO LOPEZREAL,1992,
A-03667,LA SANGRE DE UN VALIENTE,MEX,MARIO HERNÁNDEZ,1992,
A-03668,EN UN CLAROSCURO DE LA LUNA,MEX-RUSIA,SERGIO OLHOVICH,1990,
A-03669,LA CAMIONETA GRIS,MEX,JOSÉ LUIS URQUIETA,1989,
A-03670,SE SOLICITAN MODELOS,MEX,CHANO URUETA,1954,
A-03671,LADRONES DE TUMBAS,MEX,RUBÉN GALINDO JR.,1989,
A-03672,APUESTA CONTRA LA MUERTE,MEX,ISMAEL RODRÍGUEZ JR.,1989,
A-03673,NO ME DES LAS GRACIAS LLORANDO,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1989,
A-03674,EL TRONO DEL INFIERNO,MEX,SERGIO GOYRI,1992,
A-03675,EL PICHICHI DEL BARRIO,MEX,JAVIER DURÁN ESCALONA,1989,
A-03676,EL INDIO,MEX,ARMANDO VARGAS DE LA MAZA,1938,
A-03677,LA PORTERA ARDIENTE,MEX,MARIO HERNÁNDEZ,1988,
A-03678,"PUEBLO, CANTO Y ESPERANZA",MEX,JULIÁN SOLER / ALFREDO B. CREVENNA / ROGELIO A. GONZÁLEZ,1954,
A-03679,LA TENTACIÓN,MEX,ENRIQUE GÓMEZ VADILLO,1989,
A-03680,EN MEDIO DE LA NADA,MEX,HUGO RODRÍGUEZ,1992,
A-03681,EL SECUESTRO DE UN PERIODISTA,MEX,VALENTÍN TRUJILLO,1991,
A-03682,LA LOTERÍA,MEX,FERNANDO PÉREZ GAVILÁN,1993,
A-03683,UN MURO DE SILENCIO,MEX-ARG,LITA STANTIC,1992,
A-03684,DESVESTIDAS Y ALBOROTADAS,MEX,FELIPE CAZALS,1991,
A-03685,PRINCIPIO Y FIN,MEX,ARTURO RIPSTEIN,1993,
A-03686,LO QUE LE PASÓ A SANSÓN,MEX,GILBERTO MARTÍNEZ SOLARES              ,1955,
A-03687,LA TERCERA PALABRA,MEX,JULIÁN SOLER,1955,
A-03688,LA OTRA CONQUISTA,MEX,SALVADOR CARRASCO,1998,
A-03689,DAMA DE NOCHE,MEX,EVA LÓPEZ SÁNCHEZ,1992,
A-03690,CUBA BAILA,MEX-CUBA,JULIO GARCÍA ESPINOZA,1959,
A-03691,LA CORTE DEL FARAÓN,MEX,JULIO BRACHO,1943,
A-03692,UNA MAESTRA CON ÁNGEL,MEX,JUAN ANTONIO DE LA RIVA,1993,
A-03693,LA LEY DE LAS MUJERES,MEX,BILLY ARELLANO / RICARDO PADILLA,1993,
A-03694,EL SECRETO DE UN PECADO,MEX,ÁNGEL E. ÁLVAREZ LIRA/ JOSÉ S. ORTIZ,1923,
A-03695,MUJERES INFIELES,MEX,GILBERTO MARTÍNEZ SOLARES /ADOLFO MARTÍNEZ SOLARES,1994,
A-03696,UN ÁNGEL PARA LOS DIABLILLOS,MEX,FERNANDO PÉREZ GAVILÁN,1993,
A-03697,SERES HUMANOS,MEX,JORGE AGUILERA,2000,
A-03698,LA REINA DE LA NOCHE,MEX-FRA-EUA,ARTURO RIPSTEIN,1994,
A-03699,SACRIFICIO POR AMOR,MEX,FRANCISCO GARCÍA URBIZU,1923,
A-03700,PERFUME EFECTO INMEDIATO,MEX,ALEJANDRO GAMBOA,1993,
A-03701,UN EMBRUJO,MEX,LUIS CARLOS CARRERA,1998,
A-03702,EL TESORO DE CLOTILDE,MEX,JULIÁN PASTOR,1993,
A-03703,EL CHAVO BANDA,MEX,ANTONIO LÓPEZ SÁNCHEZ,1993,
A-03704,LA PALOMA DE MARSELLA,MEX,CARLOS GARCÍA AGRAZ,1998,
A-03705,COMANDO DE LA MUERTE,MEX,ALFREDO GURROLA,1990,
A-03706,ME LLEVA EL TREN,MEX,JOSÉ NIETO,1989,
A-03707,SI YO FUERA DIPUTADO,MEX,MIGUEL M. DELGADO,1951,
A-03708,EL ROSARIO DE AMOZOC,MEX,JOSÉ BOHR,1938,
A-03709,LOS SIGNOS DEL ZODIACO,MEX,SERGIO VÉJAR,1962,
A-03710,"YO, TÚ, ÉL Y EL OTRO",MEX,RAÚL ARAIZA,1992,
A-03711,BIENVENIDO/WELCOME,MEX,GABRIEL RETES,1993,
A-03712,AÍDA,MEX,ENRIQUE ROSAS,1917,
A-03713,UN AÑO PERDIDO,MEX,GERARDO LARA,1992,
A-03714,LA ASESINADITA,MEX,LUIS QUINTANILLA,1993,
A-03715,MURALLA DE TINIEBLAS,MEX,FERNANDO PÉREZ GAVILÁN,1993,
A-03716,LA PURA,MEX,MIGUEL RICO,1993,
A-03717,FRESA Y CHOCOLATE,MEX-CUBA-ESP,TOMÁS GUTÍERREZ ALEA/JUAN CARLOS TABIO,1993,
A-03718,EL COMETA,MEX-ESP-FRA,MARISA SISTACH / JOSÉ BUIL,1998,
A-03719,INSPIRACIÓN,MEX,ÁNGEL MARIO HUERTA,2000,
A-03720,FUERA DE LA LEY / RECLUSORIO II,MEX,ISMAEL RODRÍGUEZ   ,1996,
A-03721,GUERRERO       ,MEX,BENJAMÍN ESCAMILLA,2001,
A-03722,DOS CRÍMENES,MEX,ROBERTO SNEIDER,1993,
A-03723,EL JARDÍN DEL EDÉN,MEX-CAN,MARÍA NOVARO,1993,
A-03724,EL ESPINAZO DEL DIABLO,MEX-ESP ,GUILLERMO DEL TORO,2001,
A-03725,"SANTO, LA LEYENDA DEL ENMASCARADO DE PLATA",MEX,GILBERTO DE ANDA,1993,
A-03726,VIVIR MATA,MEX,NICOLÁS ECHAVARRÍA,2001,
A-03727,HASTA QUE LOS CUERNOS NOS SEPAREN,MEX,BENITO ALAZRAKI,1993,
A-03728,DOLLAR MAMBO,MEX-ESP-FRA-GB-SUI,PAUL LEDUC,1993,
A-03729,"VAMPIRO, GUERRERO DE LA NOCHE",MEX,JOSÉ NIETO,1992,
A-03730,SANTO EL ENMASCARADO DE PLATA CONTRA LOS VILLANOS DEL RING,MEX,ALFREDO B. CREVENNA,1966,
A-03731,LOS VUELCOS DEL CORAZÓN,MEX,MITL VALDEZ,1993,
A-03732,LOS DOS RIVALES,MEX,MIGUEL ZACARÍAS,1965,
A-03733,UNA BUENA FORMA DE MORIR,MEX,RAFAEL MONTERO,1993,
A-03734,EN EL AIRE,MEX,JUAN CARLOS DE LLACA,1993,
A-03735,UNA LUZ EN LA ESCALERA,MEX,ALFREDO B. CREVENNA,1993,
A-03736,LOS ALEGRES AGUILARES,MEX,MIGUEL ZACARÍAS,1965,
A-03737,DULCES COMPAÑIAS,MEX,ÓSCAR BLANCARTE,1995,
A-03738,AMA A TU PRÓJIMO,MEX,JOAQUÍN COSS,1917,
A-03739,ANGELUZ,MEX,LEOPOLDO LABORDE,1997,
A-03740,LA FURIA DE LOS KARATECAS,MEX,ALFREDO B. CREVENNA,1982,
A-03741,LA ULTIMA BATALLA,MEX,JUAN ANTONIO DE LA RIVA,1993,
A-03742,"KATUWIRA, DONDE NACEN Y MUEREN LOS SUEÑOS",MEX-ESP ,ÍÑIGO VALLEJO NAGERA,1994,
A-03743,AMOR A LA MEDIDA,MEX,RAÚL ARAIZA,1992,
A-03744,"ODIO, AMOR Y MUERTE",MEX,LUIS QUINTANILLA,1992,
A-03745,EN EL PARAÍSO NO EXISTE EL DOLOR,MEX,VÍCTOR SACA,1994,
A-03746,LA ORILLA DE LA TIERRA,MEX,IGNACIO ORTIZ,1994,
A-03747,LOS DESTRAMPADOS,MEX,PANCHO CÓRDOVA,1971,
A-03748,LOS FANTASMAS BURLONES,MEX,RAFAEL BALEDÓN,1964,
A-03749,LA QUEBRADITA/ BREAKING,MEX-EUA   ,ALBERTO VIDAURRI,1994,
A-03750,LAS PROFESORAS DEL AMOR,MEX,GABRIEL VÁZQUEZ,1987,
A-03751,GUERRERO NEGRO,MEX,RAÚL ARAIZA,1993,
A-03752,DÍAS DE COMBATE,MEX,CARLOS GARCÍA AGRAZ,1993,
A-03753,LA RISA EN VACACIONES IV,MEX,RENÉ CARDONA JR.,1993,
A-03754,DOS PINTORES PINTORESCOS,MEX,RENÉ CARDONA JR.,1966,
A-03755,QUIZÁS... EL SABER MÁS,MEX,MARICARMEN LARA,1954,
A-03756, YA LA HICIMOS,MEX,RAFAEL MONTERO,1993,
A-03757,SANTITOS,MEX-EUA-FRA-CAN-ESP,ALEJANDRO SPRINGALL,1998,
A-03758,SABOR LATINO,MEX-CUBA-ESP,PEDRO CARVAJAL,1996,
A-03759,LAS TROYANAS,MEX,SERGIO VÉJAR,1963,
A-03760,MÉXICO ANTE LOS OJOS DEL MUNDO,MEX,MIGUEL CHEJADE,1925,
A-03761,EL HOMBRE DEL ALAZÁN,MEX,ROGELIO A. GONZÁLEZ,1958,
A-03762,PÁNICO EN EL PARAÍSO,MEX,SERGIO GOYRI,1994,
A-03763,LADRÓN DE CADÁVERES,MEX,FERNANDO MÉNDEZ,1956,
A-03764,SUBLIME MELODÍA,MEX,TULIO DEMICHELI,1955,
A-03765,JONAS Y LA BALLENA ROSADA,MEX-BOL,JUAN CARLOS VALDIVIA,1994,
A-03766,ENTRE PANCHO VILLA Y UNA MUJER DESNUDA,MEX,SABINA BERMAN / ISABELLE TARDAN,1995,
A-03767,TU VIDA Y MI VIDA,MEX,MARTÍN RICARDO CANTO ESCOFFIE,1990,
A-03768,A 25 AÑOS MÉXICO 1968,MEX,ÓSCAR MENÉNDEZ,1968-1993,
A-03769 ,UN TIPO A TODO DAR,MEX,FERNANDO CORTÉS,1962,
A-03770,SANTO CONTRA LOS ZOMBIES,MEX,BENITO ALAZRAKI,1961,
A-03771,EL GAVILÁN DE LA SIERRA,MEX,JUAN ANTONIO DE LA RIVA,2001,
A-03772,HASTA MORIR,MEX,FERNANDO SARIÑANA,1993,
A-03773,EL REPORTERO T.D.,MEX,ROSA ELENA CABIEDES,1953,
A-03774,SEÑORA TENTACIÓN,MEX,JOSÉ DIAZ MORALES,1974,
A-03775,ATRAPADOS EN LA DROGA,MEX,RENÉ CARDONA III,1990,
A-03776,LAS DELICIAS DEL MATRIMONIO,MEX,JULIÁN PASTOR,1993,
A-03777,CÁNDIDO DE DÍA... PÉREZ DE NOCHE,MEX,JORGE ORTIZ DE PINEDO ,1991,
A-03778,PRISIÓN DE SUEÑOS,MEX,VÍCTOR URRUCHÚA,1948,
A-03779,LIBRE DE CULPAS,MEX,MARCEL SISNIEGA,1995,
A-03780,EL CHICANO VENGADOR,MEX,RAFAEL PÉREZ GROVAS,1990,
A-03781,FOTÓGRAFO DE MODELOS,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1990,
A-03782,GATA POR LIEBRE,MEX,RENÉ CARDONA III,1990,
A-03783,LA MUJER DEL PUERTO (1949),MEX,EMILIO GÓMEZ MURIEL,1949,
A-03784,EL VÉRTIGO,MEX,EDUARDO MACEDO,1917,
A-03785,EL LAMBISCÓN VERDE,MEX,ÓSCAR FENTANÉS,1990,
A-03786,MISIÓN SANGRIENTA,MEX,FERNANDO DURÁN,1990,
A-03787,MI VENGANZA,MEX,DAMIÁN ACOSTA  ,1990,
A-03788,NO DESEARÁS LA MUJER DE TU HIJO,MEX,ISMAEL RODRÍGUEZ   ,1949,
A-03789,NI PARIENTES SOMOS,MEX,SERGIO VÉJAR,1990,
A-03790,OFICIO: GOLFA,MEX,FRANCISCO SÁNCHEZ,1990,
A-03791,POLVO DE MUERTE,MEX,JUAN NEPOMUCENO LÓPEZ,1989,
A-03792,SI ME VIERA DON PORFIRIO,MEX,FERNANDO CORTÉS,1950,
A-03793,MAMÁ NOS QUITA LOS NOVIOS,MEX,ROBERTO RODRÍGUEZ,1951,
A-03794,LA REBELIÓN DE LOS COLGADOS (1954),MEX,EMILIO FERNÁNDEZ / ALFREDO B. CREVENNA,1954,
A-03795,"DE NOCHE VIENES, ESMERALDA",MEX,JAIME HUMBERTO HERMOSILLO,1997,
A-03796,EL SUPERMAN... DILON,MEX,JAVIER DURÁN ESCALONA,1990,
A-03797,LAS SEÑORITAS VIVANCO,MEX,MAURICIO DE LA SERNA,1958,
A-03798,VIOLETA,MEX-CUBA ,ALBERTO CORTÉS,1996,
A-03799,TRASPLANTE A LA MEXICANA,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1990,
A-03800,"MÚSICA, ESPUELAS Y AMOR",MEX,RAMÓN PEÓN,1954,
A-03801,LOS VERDULEROS III,MEX,ADOLFO MARTÍNEZ SOLARES,1991,
A-03802,UN BAÚL LLENO DE MIEDO,MEX,JOAQUÍN BISSNER,1997,
A-03803,SED DE AMOR,MEX,ALFONSO CORONA BLAKE,1958,
A-03804,JUEGO LIMPIO,MEX,MARCO JULIO LINARES,1995,
A-03805,EL NIÑO Y EL PAPA,MEX-COL,RODRIGO CASTAÑO,1986,
A-03806,CUANDO HABLA EL CORAZÓN,MEX,JUAN JOSÉ SEGURA,1943,
A-03807,CURADOS DE ESPANTO,MEX,ADOLFO MARTÍNEZ SOLARES,1990,
A-03808,POR SI NO TE VUELVO A VER,MEX,JUAN PABLO VILLASEÑOR,1997,
A-03809,SÁBADO NEGRO,MEX,MIGUEL M. DELGADO,1958,
A-03810,EL GANADOR,MEX,SERGIO VÉJAR,1990,
A-03811,YO PECADOR,MEX,ALFONSO CORONA BLAKE,1959,
A-03812,HACER EL AMOR CON OTRO,MEX,JOSÉ NIETO,1991,
A-03813,LA NAVE DE LOS MONSTRUOS,MEX,ROGELIO A. GONZALEZ,1959,
A-03814,CUENTO DE HADAS PARA DORMIR COCODRILOS,MEX,IGNACIO ORTIZ CRUZ,2001,
A-03815,UNA DE DOS,MEX,MARCEL SISNIEGA,2001,
A-03816,EL SUEÑO DEL CAIMÁN,MEX-ESP,BETO GÓMEZ,2001,
A-03817,MI QUERIDO VIEJO,MEX,RAFAEL VILLASEÑOR KURI,1991,
A-03818,NOCHE DE RONDA,MEX,"VÍCTOR MANUEL ""GÜERO"" CASTRO",1991,
A-03819,PELO SUELTO,MEX,PEDRO GALINDO III,1991,
A-03820,PICOSO PERO SABROSO,MEX,ÓSCAR FENTANES,1991,
A-03821,RETO A LA LEY / RETÉN DE LA MUERTE,MEX,EDUARDO MARTÍNEZ,1992,
A-03822,MUERTE EN TIJUANA,MEX,HERNANDO NAME,1991,
A-03823,LA RISA EN VACACIONES III,MEX,RENÉ CARDONA JR.,1991,
A-03824,EL NINJA MEXICANO,MEX,JESÚS FRAGOSO,1990,
A-03825,SOY LIBRE!,MEX,JUAN ANTONIO DE LA RIVA,1991,
A-03826,MI MUJER TIENE UN AMANTE,MEX,VÍCTOR UGALDE,1990,
A-03827,EL ROSTRO DE LA MUERTE,MEX,DAMIÁN ACOSTA ESPARZA,1990,
A-03828,LA METRALLETA INFERNAL,MEX,JUAN MANUEL HERRERA,1990,
A-03829,COMANDO DE FEDERALES II,MEX,ROMÁN HERNÁNDEZ CORONA,1992,
A-03830,IMPERIO BLANCO,MEX,MIGUEL ÁNGEL RODRÍGUEZ,1992,
