titleId,title,averageRating,numVotes
tt0024763,Cuando las damas se encuentran,6.8,1046.0
tt0024781,La mujer acusada,6.4,278.0
tt0024803,Cero en conducta,7.2,8952.0
tt0024812,Abschiedswalzer,6.7,34.0
tt0024819,La edad de la inocencia,6.2,485.0
tt0024844,El atalante,7.8,16562.0
tt0024852,Había una vez dos héroes,7.1,7144.0
tt0024865,La familia Barret,7.0,1979.0
tt0024890,Drogas infernales,6.2,1020.0
tt0024894,El gato negro,6.9,11918.0
tt0024906,Su sino era pecar,6.2,1176.0
tt0024936,Los diablos del volante,6.5,90.0
tt0024944,Call of the Coyote: A Legend of the Golden West,0.0,
tt0024979,La ciega de Sorrento,5.9,93.0
tt0024999,Corazón bandolero,6.1,13.0
tt0025009,Crimen sin pasión,7.1,546.0
tt0025017,Cruz Diablo,5.9,105.0
tt0025036,Death Day,6.4,119.0
tt0025062,Dos monjes,7.0,592.0
tt0025063,"Ojo, solteros!",0.0,
tt0025073,En su propio derecho,6.1,139.0
tt0025089,El escándalo,0.0,
tt0025100,El fantasma del convento,6.9,356.0
tt0025108,Con música y astucia,0.0,
tt0025117,La deshonra del plantel,6.4,572.0
tt0025142,Viva mi tierra,0.0,
tt0025143,El Pinto Kid,4.3,106.0
tt0025161,La dominadora,6.6,1082.0
tt0025164,La alegre divorciada,7.4,8174.0
tt0025165,Los caballeros nacen,6.3,166.0
tt0025210,Madres culpables,5.5,75.0
tt0025238,Aquí viene la armada,6.2,1039.0
tt0025251,Sombras del pasado,6.9,848.0
tt0025316,Sucedió una noche,8.1,106035.0
tt0025351,El templo de las hermosas,5.9,776.0
tt0025363,Un soltero en París,6.3,437.0
tt0025371,Raza de bronce,4.6,157.0
tt0025372,El vengador,6.4,89.0
tt0025409,La gitana,6.2,798.0
tt0025452,El hombre que sabía demasiado,6.7,19792.0
tt0025464,Sendas distintas,7.1,4463.0
tt0025480,La mala semilla,6.1,840.0
tt0025488,Hombres de negro,7.6,1387.0
tt0025493,La viuda alegre,7.2,3047.0
tt0025524,La mujer del puerto,7.0,406.0
tt0025544,La montaña de los muertos,7.1,93.0
tt0025557,El negro que tenía el alma blanca,6.8,43.0
tt0025566,The 9th Guest,6.8,617.0
tt0025580,Ahora y siempre,6.5,1062.0
tt0025610,El pan nuestro de cada día,7.0,2042.0
tt0025667,Llegó la primavera,5.6,144.0
tt0025676,El primo Basilio,8.0,7.0
tt0025688,El boxeador musical,7.6,1408.0
tt0025729,Un bravo entre bravos,3.4,23.0
tt0025731,El emigrante,6.8,785.0
tt0025748,El Pimpinela Escarlata,7.3,4461.0
tt0025862,Tarzán y su compañera,7.3,5323.0
tt0025880,El precio de un trono,6.7,1038.0
tt0025889,Tres magos del futbol,7.4,1020.0
tt0025898,Toni,7.2,1963.0
tt0025912,Tribu,0.0,
tt0025929,Historia de hierbas flotantes,7.7,3238.0
tt0025942,La verbena de la paloma,6.1,122.0
tt0026000,Una novedad musical,6.6,1055.0
tt0026007,Cabaret trágico,6.6,687.0
tt0026008,Paz en la Tierra,5.9,441.0
tt0026018,Aguiluchos y fieras,5.2,73.0
tt0026029,Treinta y nueve escalones,7.6,58550.0
tt0026029,Los 39 escalones,7.6,58550.0
tt0026038,Las aventuras de Rex y Rinty,6.2,92.0
tt0026045,La edad indiscreta,6.2,151.0
tt0026055,Don disculpas,6.0,678.0
tt0026056,La mujer que supo amar,6.9,4295.0
tt0026062,El alma del bandoneón,6.9,23.0
tt0026064,El Refuerzo,5.6,124.0
